Title,,,,,,,Date,View,Link
"
Just Play 😎"
가시 (Thorn) - 버즈 (BUZZ) [연주 l Acoustic Guitar Cover l 통기타 커버] - YouTube,,,,,,,2020. 3. 20.,"2,040",https://www.youtube.com/watch?v=XyXvSUuByrY&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=2&t=0s
시작 (Start) - 가호 (Gaho) 이태원 클라쓰 OST [연주 l Acoustic Guitar Cover l 통기타 커버 ] - YouTube,,,,,,,2020. 3. 7.,"45,332",https://www.youtube.com/watch?v=XFJjLdVgpbY&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=3&t=0s
YouTube,,,,,,,,,https://www.youtube.com/watch?v=BJKPM5HXdgs&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=4
00:00 (Zero O' Clock) - BTS (방탄소년단)[연주 l Acoustic Guitar Cover l 통기타 커버 ] - YouTube,,,,,,,2020. 2. 29.,"11,828",https://www.youtube.com/watch?v=t5US77NuuAk&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=5&t=0s
기억을 걷는 시간 - NELL (넬) [연주 l Acoustic Guitar Cover l 통기타 커버] - YouTube,,,,,,,2020. 2. 7.,"42,532",https://www.youtube.com/watch?v=vuJhLuzOaUY&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=6&t=0s
Psycho - Red Velvet (레드벨벳) [연주 l Acoustic Guitar Cover l 통기타 커버 ] - YouTube,,,,,,,2020. 1. 11.,"40,678",https://www.youtube.com/watch?v=vknQ30u0aP0&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=7&t=0s
Square - 백예린 (Yerin Baek) [연주 l Acoustic Guitar Cover l 통기타 커버 ] - YouTube,,,,,,,2019. 12. 20.,"62,902",https://www.youtube.com/watch?v=KmrOX_Mb_q0&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=8&t=0s
Blueming (블루밍) - IU (아이유) [연주 l Acoustic Guitar Cover l 통기타 커버] - YouTube,,,,,,,2019. 11. 23.,"227,562",https://www.youtube.com/watch?v=Gz7DqJb_nEA&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=9&t=0s
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지 - AKMU (악동뮤지션) [쉬움주의 l 연주 l Acoustic Guitar Cover l 통기타 커버 ] - YouTube",,,,,,,2019. 10. 17.,"128,482",https://www.youtube.com/watch?v=JzRtHCtAnjY&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=10&t=0s
Be Alright - Dean Lewis (딘 루이스) [연주 l Acoustic Guitar Cover l 통기타 커버 ] (Guitar Cover + TAB) - YouTube,,,,,,,2019. 10. 10.,"24,144",https://www.youtube.com/watch?v=CK4CBH2AQHA&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=11&t=0s
워커홀릭 (Workaholic) - 볼빨간 사춘기 (BOL4) [연주 l Acoustic Guitar Cover l 통기타 커버 ] - YouTube,,,,,,,2019. 10. 1.,"61,422",https://www.youtube.com/watch?v=w7B6OcXR1Nk&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=12&t=0s
안녕 - 폴킴 (호텔 델루나 OST) [연주 l 통기타 커버 ] - YouTube,,,,,,,2019. 9. 15.,"105,608",https://www.youtube.com/watch?v=ESD3BEZarUE&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=13&t=0s
